week_start,week_end,price,symbol,box_type
2022-12-12,2022-12-18,114.33,BRO,Set
2022-12-19,2022-12-25,118.78,BRO,Set
2022-12-26,2023-01-01,113.99,BRO,Set
2023-01-02,2023-01-08,114.39,BRO,Set
2023-01-09,2023-01-15,111.71,BRO,Set
2023-01-16,2023-01-22,113.36,BRO,Set
2023-01-23,2023-01-29,112.73,BRO,Set
2023-01-30,2023-02-05,112.73,BRO,Set
2022-09-05,2022-09-11,112.90,BRO,Draft
2022-09-12,2022-09-18,112.86,BRO,Draft
2022-09-19,2022-09-25,112.48,BRO,Draft
2022-09-26,2022-10-02,112.05,BRO,Draft
2022-10-03,2022-10-09,108.75,BRO,Draft
2022-10-10,2022-10-16,107.88,BRO,Draft
2022-10-17,2022-10-23,107.25,BRO,Draft
2022-10-24,2022-10-30,106.65,BRO,Draft
2022-10-31,2022-11-06,105.99,BRO,Draft
2022-11-07,2022-11-13,99.12,BRO,Draft
2022-11-14,2022-11-20,98.19,BRO,Draft
2022-11-21,2022-11-27,97.93,BRO,Draft
2022-11-28,2022-12-04,98.08,BRO,Draft
2022-12-05,2022-12-11,96.34,BRO,Draft
2022-12-12,2022-12-18,101.62,BRO,Draft
2022-12-19,2022-12-25,106.21,BRO,Draft
2022-12-26,2023-01-01,108.61,BRO,Draft
2023-01-02,2023-01-08,108.40,BRO,Draft
2023-01-09,2023-01-15,107.86,BRO,Draft
2023-01-16,2023-01-22,107.21,BRO,Draft
2023-01-23,2023-01-29,103.05,BRO,Draft
2022-03-21,2022-03-27,348.44,CLB,Collector
2022-03-28,2022-04-03,348.44,CLB,Collector
2022-04-04,2022-04-10,348.34,CLB,Collector
2022-04-11,2022-04-17,348.17,CLB,Collector
2022-04-18,2022-04-24,348.17,CLB,Collector
2022-04-25,2022-05-01,342.48,CLB,Collector
2022-05-02,2022-05-08,338.34,CLB,Collector
2022-05-09,2022-05-15,302.97,CLB,Collector
2022-05-16,2022-05-22,258.58,CLB,Collector
2022-05-23,2022-05-29,239.80,CLB,Collector
2022-05-30,2022-06-05,230.35,CLB,Collector
2022-06-06,2022-06-12,215.53,CLB,Collector
2022-06-13,2022-06-19,206.43,CLB,Collector
2022-06-20,2022-06-26,183.84,CLB,Collector
2022-06-27,2022-07-03,190.89,CLB,Collector
2022-07-04,2022-07-10,173.20,CLB,Collector
2022-07-11,2022-07-17,177.99,CLB,Collector
2022-07-18,2022-07-24,177.93,CLB,Collector
2022-07-25,2022-07-31,172.20,CLB,Collector
2022-08-01,2022-08-07,167.18,CLB,Collector
2022-08-08,2022-08-14,166.67,CLB,Collector
2022-08-15,2022-08-21,166.23,CLB,Collector
2022-08-22,2022-08-28,155.93,CLB,Collector
2022-08-29,2022-09-04,147.02,CLB,Collector
2022-09-05,2022-09-11,136.96,CLB,Collector
2022-09-12,2022-09-18,134.90,CLB,Collector
2022-09-19,2022-09-25,143.52,CLB,Collector
2022-09-26,2022-10-02,141.04,CLB,Collector
2022-10-03,2022-10-09,155.24,CLB,Collector
2022-10-10,2022-10-16,152.06,CLB,Collector
2022-10-17,2022-10-23,149.72,CLB,Collector
2022-10-24,2022-10-30,149.15,CLB,Collector
2022-10-31,2022-11-06,146.52,CLB,Collector
2022-11-07,2022-11-13,142.79,CLB,Collector
2022-11-14,2022-11-20,143.17,CLB,Collector
2022-11-21,2022-11-27,138.16,CLB,Collector
2022-11-28,2022-12-04,135.05,CLB,Collector
2022-12-05,2022-12-11,134.79,CLB,Collector
2022-12-12,2022-12-18,132.84,CLB,Collector
2022-12-19,2022-12-25,132.78,CLB,Collector
2022-12-26,2023-01-01,135.97,CLB,Collector
2023-01-02,2023-01-08,140.43,CLB,Collector
2023-01-09,2023-01-15,146.11,CLB,Collector
2023-01-16,2023-01-22,148.20,CLB,Collector
2023-01-23,2023-01-29,147.57,CLB,Collector
2022-03-21,2022-03-27,149.43,CLB,Draft
2022-03-28,2022-04-03,149.41,CLB,Draft
2022-04-04,2022-04-10,194.41,CLB,Draft
2022-04-11,2022-04-17,147.67,CLB,Draft
2022-04-18,2022-04-24,146.87,CLB,Draft
2022-04-25,2022-05-01,140.18,CLB,Draft
2022-05-02,2022-05-08,125.42,CLB,Draft
2022-05-09,2022-05-15,105.33,CLB,Draft
2022-05-16,2022-05-22,98.01,CLB,Draft
2022-05-23,2022-05-29,100.94,CLB,Draft
