date,volume,adjusted
2021-01-06,693700,87.6754608154297
2021-01-07,646900,87.9538192749023
2021-01-08,908900,90.2456970214844
2021-01-11,575500,89.8652496337891
2021-01-12,843600,91.9715576171875
2021-01-13,640800,92.0921783447266
2021-01-14,1058800,92.0550537109375
2021-01-15,1018100,90.1900100708008
2021-01-19,769200,89.3456497192383
2021-01-20,664900,87.9074401855469
2021-01-21,706500,90.0044326782227
2021-01-22,437900,90.449836730957
2021-01-25,638000,88.9188232421875
2021-01-26,1081400,88.3249740600586
2021-01-27,1162600,86.5620040893555
2021-01-28,1059900,88.2785873413086
2021-01-29,726700,87.0537719726562
2021-02-01,418800,88.1940536499023
2021-02-02,757000,89.2502288818359
2021-02-03,645200,90.1942138671875
2021-02-04,633900,90.5400466918945
2021-02-05,1244400,90.9232559204102
2021-02-08,2631700,87.0631256103516
2021-02-09,1355500,84.8106155395508
2021-02-10,1447600,86.2593231201172
2021-02-11,1068700,84.7264862060547
2021-02-12,717300,85.5022583007812
2021-02-16,894900,83.5862121582031
2021-02-17,750700,84.9414596557617
2021-02-18,509100,85.4555130004883
2021-02-19,705000,84.1189727783203
2021-02-22,808400,85.7639541625977
2021-02-23,850300,85.4087829589844
2021-02-24,889800,84.9695053100586
2021-02-25,1880900,85.8387222290039
2021-02-26,2478700,87.586540222168
2021-03-01,1000100,88.8483200073242
2021-03-02,753500,89.0632858276367
2021-03-03,617500,86.9509658813477
2021-03-04,1017100,86.2125930786133
2021-03-05,802200,88.5959625244141
2021-03-08,715800,90.9325942993164
2021-03-09,1167100,89.5586471557617
2021-03-10,661400,90.4372406005859
2021-03-11,927800,88.6800842285156
2021-03-12,763600,88.6894226074219
2021-03-15,717500,91.0447692871094
2021-03-16,690600,91.0447692871094
2021-03-17,1135500,88.7641906738281
2021-03-18,713000,89.2876129150391
2021-03-19,2762400,89.6614685058594
2021-03-22,811600,90.5213470458984
2021-03-23,737000,90.4278793334961
2021-03-24,770300,89.3810729980469
2021-03-25,756100,91.9233474731445
2021-03-26,628900,92.0635223388672
2021-03-29,608500,91.5027389526367
2021-03-30,973300,90.5493927001953
2021-03-31,1411500,89.8390579223633
2021-04-01,878700,89.2221755981445
2021-04-05,811800,89.3063049316406
2021-04-06,750700,89.5119247436523
2021-04-07,603300,90.8391342163086
2021-04-08,1743600,89.9231719970703
2021-04-09,718000,89.0165634155273
2021-04-12,737700,90.7643585205078
2021-04-13,1723200,92.3813171386719
2021-04-14,1069300,93.4561614990234
2021-04-15,845300,92.5401992797852
2021-04-16,1016600,91.5961990356445
2021-04-19,644700,91.6055450439453
2021-04-20,771300,90.4091949462891
2021-04-21,616300,91.3064651489258
2021-04-22,673400,92.0448455810547
2021-04-23,891200,90.8017501831055
2021-04-26,987300,90.6802444458008
2021-04-27,1256700,91.9233474731445
2021-04-28,703900,91.5961990356445
2021-04-29,756700,92.6149749755859
2021-04-30,1035600,93.5937271118164
2021-05-03,837200,93.509033203125
2021-05-04,669500,92.4173583984375
2021-05-05,534400,93.5278625488281
2021-05-06,637000,93.5749130249023
2021-05-07,583400,93.311408996582
2021-05-10,7E+05,93.5372695922852
2021-05-11,682900,92.4267501831055
2021-05-12,705800,89.1799240112305
2021-05-13,550400,90.6386337280273
2021-05-14,728600,90.6292266845703
2021-05-17,708000,90.4221878051758
2021-05-18,641800,89.3869552612305
2021-05-19,745600,88.314094543457
2021-05-20,568200,89.2175750732422
2021-05-21,600800,88.5211334228516
2021-05-24,437500,88.5776062011719
2021-05-25,489500,88.5023193359375
2021-05-26,433000,89.2457962036133
2021-05-27,1160500,90.2716064453125
2021-05-28,425100,90.3186645507812
2021-06-01,523300,90.6198196411133
2021-06-02,668500,89.8386993408203
2021-06-03,768600,89.9422225952148
2021-06-04,549200,89.6316528320312
2021-06-07,399200,89.1705093383789
2021-06-08,429300,90.6951217651367
2021-06-09,317400,89.7822265625
2021-06-10,429000,90.5539398193359
2021-06-11,644000,91.730339050293
2021-06-14,727500,89.876335144043
2021-06-15,573600,89.5187149047852
2021-06-16,642100,88.4646682739258
2021-06-17,923300,86.4318542480469
2021-06-18,1126400,85.6695556640625
2021-06-21,677100,86.7330093383789
2021-06-22,595900,87.4012145996094
2021-06-23,671700,87.2506256103516
2021-06-24,568800,87.6929473876953
2021-06-25,688500,88.0317611694336
2021-06-28,815200,88.0976333618164
2021-06-29,906000,88.4646682739258
2021-06-30,826800,88.9540481567383
2021-07-01,568600,89.7257537841797
2021-07-02,686600,90.9586181640625
2021-07-06,498100,89.9892883300781
2021-07-07,498600,91.2221374511719
2021-07-08,591100,91.1844787597656
2021-07-09,431000,92.2103118896484
2021-07-12,341800,92.3702850341797
2021-07-13,480500,91.8244476318359
2021-07-14,624800,92.031494140625
2021-07-15,1006200,89.2175750732422
2021-07-16,678100,88.5023193359375
2021-07-19,796800,86.3942337036133
2021-07-20,654000,88.4646682739258
2021-07-21,421900,88.6717147827148
2021-07-22,393900,87.7494201660156
2021-07-23,1105300,86.9682998657227
2021-07-26,3870500,97.6122970581055
2021-07-27,1496100,95.4006729125977
2021-07-28,1437600,93.9984130859375
2021-07-29,970400,94.5724945068359
2021-07-30,1622600,94.2219161987305
2021-08-02,637500,94.4209060668945
2021-08-03,899200,95.1125869750977
2021-08-04,553900,94.3356170654297
2021-08-05,507900,93.8713302612305
2021-08-06,573500,92.8479995727539
2021-08-09,369700,93.0469818115234
2021-08-10,339300,93.5018081665039
2021-08-11,471000,93.5302200317383
2021-08-12,678500,93.8713302612305
2021-08-13,528200,94.9988784790039
2021-08-16,548100,94.7335739135742
2021-08-17,542100,92.2036819458008
2021-08-18,464200,90.9150466918945
2021-08-19,636000,89.8064422607422
2021-08-20,463100,90.8108139038086
2021-08-23,444700,92.0805130004883
2021-08-24,405200,92.5353240966797
2021-08-25,405700,93.2743911743164
2021-08-26,383000,92.7911529541016
2021-08-27,365900,93.2838516235352
2021-08-30,322900,93.170166015625
2021-08-31,639900,93.1512145996094
2021-09-01,390100,93.6628799438477
2021-09-02,246000,93.7481536865234
2021-09-03,249300,94.146110534668
2021-09-07,657400,94.9515228271484
2021-09-08,435300,92.9617004394531
2021-09-09,523600,92.8953704833984
2021-09-10,361300,92.8764190673828
2021-09-13,406800,92.4405670166016
2021-09-14,433600,92.3647689819336
2021-09-15,499400,93.4259872436523
2021-09-16,500100,93.5586471557617
2021-09-17,1381100,92.4121398925781
2021-09-20,830600,90.5834121704102
2021-09-21,785400,87.987190246582
2021-09-22,859700,89.3611068725586
2021-09-23,476000,89.6832656860352
2021-09-24,417900,89.4748077392578
2021-09-27,411200,89.1336975097656
2021-09-28,696700,87.6650390625
2021-09-29,423000,87.3997268676758
2021-09-30,1430100,84.5382080078125
2021-10-01,889600,84.4150238037109
2021-10-04,1008900,82.1030731201172
2021-10-05,970600,82.5484085083008
2021-10-06,597600,83.2969589233398
2021-10-07,766600,84.6234817504883
2021-10-08,695700,85.2772827148438
2021-10-11,883000,83.8938827514648
2021-10-12,647500,83.4296035766602
2021-10-13,783800,83.6191101074219
2021-10-14,1066800,86.5564270019531
2021-10-15,978500,87.6176605224609
2021-10-18,881900,87.7597885131836
2021-10-19,657900,88.3946304321289
2021-10-20,710500,86.2437591552734
2021-10-21,1061900,87.6081924438477
2021-10-22,1403500,84.8035125732422
2021-10-25,1532000,83.8559951782227
2021-10-26,2121600,86.5659027099609
2021-10-27,1436500,89.6358947753906
2021-10-28,1312600,91.5214691162109
2021-10-29,1376500,91.3783264160156
2021-11-01,808700,90.6053924560547
2021-11-02,955000,89.1740264892578
2021-11-03,773300,89.2694549560547
2021-11-04,629300,90.4813461303711
